model,model_display,condition,condition_display,topic_id,frac_existing
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t080,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t081,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t082,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t083,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t084,0.600000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t085,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t086,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t087,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t088,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t089,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t090,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t091,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t092,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t093,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t094,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t095,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t096,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t097,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t098,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t099,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t100,0.600000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t101,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t102,0.000000
